Frame,X Position [µm],Y Position [µm],Intensity,Fit Radius
1,18.7456,1.99312,6722.4,1.1
1,14.70384,5.98576,8157.4,1.1
1,19.2032,6.54432,7376.5,1.1
1,12.54864,7.3136,10202,1.1
1,9.61424,9.15552,7761.4,1.1
1,23.5552,11.78432,5351.6,1.1
1,6.1168,12.00768,8268.9,1.1
1,7.23856,12.016,8904.1,1.1
1,12.41264,12.19424,9113.4,1.1
1,11.59376,13.90192,9742.2,1.1
1,19.7568,18.1984,9253.3,1.1
1,14.14032,26.6848,8338.4,1.1
1,12.34256,1.28472,5440.7,1.1
2,18.8928,9.06128,6636.4,1.1
2,14.21936,10.104,10027,1.1
2,15.51248,11.53552,7397.8,1.1
2,5.02688,12.12016,7438.5,1.1
2,19.6272,12.59296,10821,1.1
2,15.63248,12.9752,15139,1.1
2,20.4288,13.60544,9836.6,1.1
2,19.8224,18.2352,8976.6,1.1
2,14.90272,24.2432,15795,1.1
2,12.18896,25.1792,12197,1.1
2,3.82192,3.29648,4770.1,1.1
3,14.14368,10.17904,11526,1.1
3,12.4104,12.11184,11766,1.1
3,15.75376,12.15344,10442,1.1
3,15.6048,12.95792,12140,1.1
3,20.4192,13.58784,11478,1.1
3,19.2464,14.28416,8565.1,1.1
3,16.4704,17.5824,9277.1,1.1
3,19.7792,18.2624,10685,1.1
3,12.1776,25.1728,11521,1.1
3,15.53392,11.43984,10217,1.1
3,18.8736,3.40256,5274.6,1.1
4,13.71104,5.30256,7918.3,1.1
4,19.6304,12.75408,7395.6,1.1
4,14.84096,13.5768,9239.5,1.1
4,7.6792,13.92432,7662,1.1
4,19.3344,14.1672,7544.8,1.1
4,18.7952,16.0336,9636.7,1.1
4,16.3792,18.4608,9916.3,1.1
4,6.30992,19.5952,6088.8,1.1
4,21.9808,21.5152,11880,1.1
4,18.7648,24.696,8819.5,1.1
4,12.15872,25.1984,9884.1,1.1
4,10.28736,6.20368,7559.7,1.1
5,8.8696,7.77056,8129.4,1.1
5,5.15152,8.34336,6491.4,1.1
5,10.17952,10.43296,6773.2,1.1
5,15.61984,12.888,14195,1.1
5,11.56416,13.97552,10305,1.1
5,17.8176,18.3584,9382.1,1.1
5,18.8928,18.632,9789.5,1.1
5,21.9808,21.5904,19641,1.1
5,15.71968,23.7968,7452.4,1.1
5,15.32368,26.5008,11567,1.1
5,14.90208,24.2144,7602.3,1.1
5,6.90192,8.68352,7638.3,1.1
6,5.97424,10.60256,8455.2,1.1
6,15.48672,11.53392,7711,1.1
6,15.60672,12.97408,10470,1.1
6,18.8192,12.92928,6501.1,1.1
6,5.94672,13.14656,6713.6,1.1
6,17.6432,17.7088,9641.7,1.1
6,15.77328,23.7792,9451.8,1.1
6,12.65408,7.37248,12103,1.1
7,20.5344,12.4488,10313,1.1
7,8.80048,12.79504,7485.1,1.1
7,15.62464,12.95312,17415,1.1
7,8.94496,13.61024,8151.7,1.1
7,19.1952,14.22576,7973.5,1.1
7,13.97344,20.0272,9764.7,1.1
7,8.48512,24.0352,8732.9,1.1
7,13.732,24.2944,15716,1.1
7,21.056,3.53616,9404.6,1.1
8,17.1264,6.56304,7902.4,1.1
8,14.08784,6.8208,7850.8,1.1
8,12.61088,7.33136,10049,1.1
8,6.04432,10.4568,6355.9,1.1
8,15.70432,12.87952,17552,1.1
8,17.8032,13.03536,9297.3,1.1
8,16.3296,19.1696,9406.5,1.1
8,13.95312,19.9904,9115.4,1.1
8,13.74304,24.36,14332,1.1
8,14.07808,26.7824,6616.2,1.1
8,17.0976,7.05536,6559.3,1.1
8,10.07728,6.36432,6253.4,1.1
9,14.11184,6.74144,6378.7,1.1
9,17.1568,6.73904,7117.8,1.1
9,14.26976,10.28,9798,1.1
9,12.38896,12.16144,10388,1.1
9,6.63936,12.86656,10173,1.1
9,15.90688,12.88208,11195,1.1
9,11.63168,13.956,10723,1.1
9,17.3824,17.768,8750.7,1.1
9,14.07456,19.9744,9377.5,1.1
9,20.1088,19.9536,9080.6,1.1
9,7.6552,21.7424,7903.3,1.1
9,17.9872,23.688,7063.8,1.1
9,15.64576,23.7792,9563.9,1.1
9,13.68784,24.3424,17157,1.1
9,6.07632,13.10368,6455.5,1.1
9,23.3696,9.48512,6648.1,1.1
10,14.28944,10.13904,10101,1.1
10,12.5072,12.18336,8333.9,1.1
10,15.62784,12.95408,11719,1.1
10,13.71008,14.17808,12501,1.1
10,15.37264,18.2528,8882.3,1.1
10,11.97312,23.4,7123.8,1.1
10,13.63648,24.4064,13457,1.1
10,22.0848,7.156,8361.2,1.1
11,7.12096,11.9704,7200,1.1
11,20.4064,14.62864,8948.5,1.1
11,18.3728,16.2048,10698,1.1
11,16.5088,17.56,8382.4,1.1
11,12.32016,24.2864,10473,1.1
